,slang,formal
1247,berangat,berangkat
1248,praktekin,mempraktikkan
1249,dahh,dah
1250,gmn,bagaimana
1251,omdo,omong doang
1252,kate,kata
1253,cabe2,cabe-cabe
1254,prjuangan,perjuangan
1255,kmewahan,kemewahan
1256,stimpal,setimpal
1257,ddpat,didapat
1258,sprt,seperti
1259,bc,baca
1260,mnilai,menilai
1261,kata2,kata-kata
1262,usahh,usah
1263,segala2nya,segala-galanya
1264,sekarng,sekarang
1265,sprti,seperti
1266,mkanya,makanya
1267,hay,hai
1268,mreka,mereka
1269,bhagia,bahagia
1270,korek2,korek-korek
1271,ngebales,membalas
1272,krna,karena
1273,sihh,sih
1274,sasama,sesama
1275,dehh,deh
1276,cabe2an,cabe-cabean
1277,terong2an,terong-terongan
1278,seklian,sekalian
1279,kluar,keluar
1280,tuuu,itu
1281,ngurusan,mengurusi
1282,campurin,mencampuri
1283,emnknya,memangnya
1284,py,punya
1285,unyuu,unyu
1286,mrangkul,merangkul
1287,adlh,adalah
1288,wlo,walau
1289,lh,lah
1290,manusiy,manusia
1291,tx,tak
1292,samara,sakinah mawadah rahman
1293,teringt,teringat
1294,trmsuk,termasuk
1295,dn,dan
1296,pilihnmu,pilihanmu
1297,swmntara,sementara
1298,trmasuk,termasuk
1299,orang2,orang-orang
1300,sgt,sangat
1301,liht,lihat
1302,suaminy,suaminya
1303,jadulnya,jaman dulunya
1304,mantaff,mantap
1305,ngata2in,mengata-ngatai
1306,bagaimna,bagaimana
1307,mulusssss,mulus
1308,bgus,bagus
1309,gmana,bagaimana
1310,kpleset,kepleset
1311,yawlah,ya allah
1312,kepeleset,kepleset
1313,kayanye,kayanya
1314,amiinnnn,amin
1315,komen2an,komen-komenan
1316,wewww,wow
1317,dumsss,dong
1318,tar,entar
1319,perbaikin,memperbaiki
1320,permasalhkan,permasalahkan
1321,betul2,betul-betul
1322,jauhin,jauhi
1323,dateng,datang
1324,adiik,adik
1325,manisss,manis
1326,"besar""",besar-besar
1327,"masing""",masing-masing
1328,ddlm,di dalam
1329,kmbali,kembali
1330,dkuburnya,dikuburnya
1331,fi,di
1332,ttg,tentang
1333,rata2,rata-rata
1334,lbih,lebih
1335,critamu,ceritamu
1336,ja,saja
1337,bres,beres
1338,cmkn,camkan
1339,diurusin,diurusi
1340,biarin,biarkan
1341,kale,kali
1342,donks,dong
1343,"membanding""",membanding-banding
1344,mengperbolehkan,memperbolehkan
1345,krena,karena
1346,ngri,negeri
1347,"dingin""",dingin-dingin
1348,lma,lama
1349,dibangga'in,dibangga-banggakan
1350,ngebolehin,membolehkan
1351,denger,dengar
1352,"jelek""in",menjelek-jelekkan
1353,stiap,setiap
1354,gausa,enggak usah
1355,maksain,memaksakan
1356,smog,semoga
1357,mnerima,menerima
1358,baikxa,baiknya
1359,aaamin,amin
1360,amienn,amien
1361,sekangen2,sekangen-kangen
1362,kt,kita
1363,amiiiiiiiiiinnnnnnn,amin
1364,nolongin,menolong
1365,amiiiiiiiiiiin,amin
1366,seluru,seluruh
1367,amiennn,amien
1368,tebir,ribet
1369,doangam,doang
1370,"tebir""",ribet-ribet
1371,amad,amat
1372,mkst,maksud
1373,wong2,wong-wong
1374,rempong,repot
1375,ngurusin,mengurusi
1376,kerjaan,pekerjaan
1377,bingittzz,banget
1378,bangets,banget
1379,ikh,ih
1380,dwh,deh
1381,nengok,menengok
1382,bante,bantai
1383,la,lah
1384,komenannya,komentarnya
1385,hadapin,menghadapi
1386,dengarin,mendengarkan
1387,ush,usah
1388,cock,cocok
1389,widihh,waduh
1390,mantepp,mantap
1391,cita2,cita-cita
1392,temen-temen,teman-teman
1393,stu,satu
1394,syratnya,syaratnya
1395,pnjang,panjang
1396,shat,sehat
1397,inginkn,inginkan
1398,belanjaa,belanja
1399,burem,buram
1400,tlp,telepon
1401,dngan,dengan
1402,ngerasain,merasai
1403,kancang,kencang
1404,tmbh,tambah
1405,mansyoallah,masyaallah
1406,skali,sekali
1407,canttttikkk,cantik
1408,subhanalloh,subhanallah
1409,lkuin,lakukan
1410,langgenh,langgeng
1411,foto2nya,foto-fotonya
1412,tanggung2,tanggung-tanggung
1413,salluutt,salut
1414,pkai,pakai
1415,org2,orang-orang
1416,mkn,makin
1417,seneng,senang
1418,pdng,padang
1419,warbiyasah,luar biasa
1420,pk,pakai
1421,keedaannya,keadaannya
1422,lagu2,lagu-lagu
1423,saya2,saya-saya
1424,sekrng,sekarang
1425,lagu2nya,lagu-lagunya
1426,ttap,tetap
1427,spertinya,sepertinya
1428,mrah,marah
1429,gra2,gara-gara
1430,sngaja,sengaja
1431,jlek,jelek
1432,udah2,sudah-sudah
1433,ungkit2,ungkit-ungkit
1434,pura2,pura-pura
1435,gatau,enggak tau
1436,curhat2,curhat-curhat
1437,matany,matanya
1438,dteng,datang
1439,mata'y,matanya
1440,baju2,baju-baju
1441,buruannn,buruan
1442,emng,memang
1443,perubut,perebut
1444,sumai,suami
1445,tk,tak
1446,urusin,mengurusi
1447,apah,apa
1448,bagus2,bagus-bagus
1449,say,sayang
1450,mmbela,membela
1451,mslhnya,masalahnya
1452,hnya,hanya
1453,sndri,sendiri
1454,sj,saja
1455,llki,lelaki
1456,dluar,diluar
1457,sna,sana
1458,boleh2,boleh-boleh
1459,dya,dia
1460,maluuuu,malu
1461,beda2,beda-beda
1462,nyaranin,menyarankan
1463,x,kali
1464,tongolin,menongol
1465,cabol,cabul
1466,ape,apa
1467,nyet,monyet
1468,muna,munafik
1469,jing,anjing
1470,tot,entot
1471,nihh,nih
1472,hidiyah,hidayah
1473,percya,percaya
1474,bgi,bagi
1475,tlg,tolong
1476,sya,saya
1477,sdri,sendiri
1478,tdi,tadi
1479,mgkin,mungkin
1480,bhwa,bahwa
1481,skaligus,sekaligus
1482,cek2,cek-cek
1483,spti,seperti
1484,smakin,semakin
1485,sbgai,sebagai
1486,mgk,mungkin
1487,bgmn,bagaimana
1488,sapa2,sapa-sapa
1489,sama2,sama-sama
1490,kyknya,kayaknya
1491,pnya,punya
1492,dng,dengan
1493,termurahhh,termurah
1494,bbrp,beberapa
1495,bhw,bahwa
1496,banyaaaaaak,banyak
1497,baik2nya,baik-baiknya
1498,tunjukan,tunjukkan
1499,anak2mu,anak-anakmu
1500,anak2,anak-anak
1501,ngasih2,mengasih-ngasih
1502,berfikir,berpikir
1503,amit2,amit-amit
1504,mba,mbak
1505,elu,lu
1506,ngajuin,mengajukan
1507,tiba2,tiba-tiba
1508,jkt,jakarta
1509,terbaeq,terbaik
1510,namany,namanya
1511,jels,jelas
1512,diakibtkn,diakibatkan
1513,suk,suka
1514,jelek2,jelek-jelek
1515,dsrny,dasarnya
1516,jkrta,jakarta
1517,mantaap,mantap
1518,benar2,benar-benar
1519,main2,main-main
1520,lanjutkaaaaan,lanjutkan
1521,hiduppp,hidup
1522,ncek,encek
1523,majuuu,maju
1524,teruuss,terus
1525,kdg2,kadang-kadang
1526,looohh,loh
1527,sebelumbya,sebelumnya
1528,tunjukin,tunjukkan
1529,"tahun""",tahun-tahun
1530,koment,komentar
1531,nyampein,menyampaikan
1532,hokiii,hoki
1533,naksir,menaksir
1534,"bangt""",banget-banget
1535,nafkahin,menafkahi
1536,ngitem,menghitam
1537,banyaaaak,banyak
1538,"sama""",sama-sama
1539,gx,enggak
1540,lhat,lihat
1541,cantika,cantik
1542,cwek,cewek
1543,kngen,kangen
1544,fillm,film
1545,sinet,sinetron
1546,jendral,jenderal
1547,nanya,tanya
1548,maenya,mainnya
1549,cantiks,cantik
1550,wktu,waktu
1551,pilm,film
1552,taon,tahun
1553,nd,indak
1554,slah,salah
1555,cini,sini
1556,jaaangan,jangan
1557,nambah,bertambah
1558,naek,naik
1559,terimaksih,terima kasih
1560,inii,ini
1561,kaannnn,kan
1562,tidakkkk,tidak
1563,kemuh,kamu
1564,da,sudah
1565,keren2,keren-keren
1566,sby,surabaya
1567,tgl,tanggal
1568,pinginnn,ingin
1569,buanget,banget
1570,ketemuuu,ketemu
1571,kebawa,terbawa
1572,mimpiii,mimpi
1573,wanjerrr,anjir
1574,satupunn,satupun
1575,motret,memotret
1576,temen2,teman-teman
1577,lapakk,lapak
1578,nyeniii,menyeni
1579,bget,banget
1580,seeh,sih
1581,abis,habis
1582,deuhh,duh
1583,b2an,berduaan
1584,dihargain,dihargai
1585,"engga""",enggak-enggak
1586,tahun2,tahun-tahun
1587,lebayy,lebay
1588,gilsss,gila
1589,nganbek,mengambek
1590,sukaa,suka
1591,enk,enak
1592,mendam,memendam
1593,manta,mantan
1594,relaaaa,rela
1595,bgun,bangun
1596,tdur,tidur
1597,cntk,cantik
1598,knl,kenal
1599,anugrah,anugerah
1600,slm,salam
1601,kliatan,kelihatan
1602,awoohhh,allah
1603,cantiikk,cantik
1604,gt,begitu
1605,sbbyak,sebanyak
1606,apun,apapun
1607,nyangkutnya,menyangkutnya
1608,untk,untuk
1609,ampunnnnn,ampun
1610,hy,hai
1611,wadaaw,waduh
1612,paraah,parah
1613,sampw,sampai
1614,dijelekin,dijelekkan
1615,napa,kenapa
1616,azeeeek,asik
1617,ntikk,cantik
1618,uhh,uh
1619,mayan,lumayan
1620,mnisss,manis
1621,tambahim,tambahkan
1622,tambahin,tambahkan
1623,"bener""",benar-benar
1624,make,memakai
1625,canttikkk,cantik
1626,baanggeettt,banget
1627,ap,apa
1628,siiihh,sih
1629,krpoooo,kepo
1630,pengn,ingin
1631,nyusul,menyusul
1632,nyok,yuk
1633,dekkk,dek
1634,ngiri,mengiri
1635,mmang,memang
1636,nentuin,menentukan
1637,mnjmput,menjemput
1638,ygs,sayang
1639,mblooo,jomblo
1640,ber'expresi,berekspresi
1641,jdulnya,judulnya
1642,ciumman,ciuman
1643,aurot,aurat
