,slang,formal
2982,woles,selow
2983,hianatin,khianati
2984,halangin,halangi
2985,iyuh,ih
2986,iyuuuhhhh,ih
2987,gaje,enggak jelas
2988,gabakal,enggak bakal
2989,adapin,menghadapi
2990,ngehakimi,menghakimi
2991,ngejuangin,memperjuangkan
2992,dipojokin,dipojokkan
2993,bacotin,bacoti
2994,berati,berarti
2995,kebangetak,kebangetan
2996,tangkep,tangkap
2997,bt,buat
2998,sadis2,sadis-sadis
2999,maksir,menaksir
3000,hebatt,hebat
3001,pndang,pandang
3002,pmbelajaran,pembelajaran
3003,ngejelek,menjelekkan
3004,maslah,masalah
3005,mmperbaiki,memperbaiki
3006,nahan,menahan
3007,kafeh,kafe
3008,remang2,remang-remang
3009,mlh,malah
3010,tinggl,tinggal
3011,dirmh,dirumah
3012,iyuuhhh,ih
3013,ktika,ketika
3014,dipuja2,dipuja-puja
3015,ngrasain,merasai
3016,ityl,itil
3017,hbs,habis
3018,marah2,marah-marah
3019,wenak,enak
3020,ngarang,mengarang
3021,kelas'a,kelasnya
3022,hadeeehhh,aduh
3023,"kecil""",kecil-kecil
3024,"gtu""an",begitu-gituan
3025,gmanapun,bagaimanapun
3026,kr,kira
3027,nenek2,nenek-nenek
3028,taux,taunya
3029,urat2nya,urat-uratnya
3030,ketarik,tertarik
3031,ngorbanin,mengorbankan
3032,eksprsi,ekspresi
3033,gitulah,begitulah
3034,"foto""",foto-foto
3035,mamas,mas
3036,bandingin,bandingkan
3037,tua2,tua-tua
3038,terus2an,terus-terusan
3039,waduhh,waduh
3040,"bawa""",bawa-bawa
3041,badingkan,membandingkan
3042,ngurus,mengurus
3043,lanjutin,lanjutkan
3044,ributin,meributkan
3045,brantem,berantem
3046,belain,membela
3047,lipetan,lipatan
3048,"nenek""",nenek-nenek
3049,bneraan,benaran
3050,kageeet,kaget
3051,sangaaattt,sangat
3052,rmbuut,rambut
3053,nt,nanti
3054,walik,balik
3055,oma2,oma-oma
3056,kellen,kalian
3057,nyerocos,mencerocos
3058,ibuk2,ibu-ibu
3059,ngomenin,mengomentari
3060,iseng2,iseng-iseng
3061,niyyyyhhhh,nih
3062,sexi2,seksi-seksi
3063,blik,balik
3064,kenape,kenapa
3065,ladenin,meladeni
3066,skit,sakit
3067,hat,hati
3068,jilbabnye,jilbabnya
3069,ledkin,meledeki
3070,digabtikan,digantikan
3071,jng,jangan
3072,ngumung,mengomong
3073,ilang-in,hilangkan
3074,prinadi,pribadi
3075,luh,lu
3076,yep,ya
3077,helooooo,halo
3078,loe,lo
3079,palingann,palingan
3080,berjinah,berzina
3081,munaafikk,munafik
3082,urusn,urusan
3083,saudra,saudara
3084,trganggu,terganggu
3085,bhijab,berhijab
3086,lepasin,melepas
3087,smentara,sementara
3088,waduhhh,waduh
3089,ursan,urusan
3090,sudab,sudah
3091,dwsa,dewasa
3092,rpt2,repot-repot
3093,ngaji,mengaji
3094,nmr,nomor
3095,romantiz,romantis
3096,murmer,murah meriah
3097,pensaran,penasaran
3098,baru2,baru-baru
3099,yuukk,yuk
3100,kitaaa,kita
3101,lainnyaa,lainnya
3102,perbulannn,perbulan
3103,penyebab2,penyebab-penyebab
3104,nyupir,menyopir
3105,steess,stres
3106,kwatir,kawatir
3107,tengah2,tengah-tengah
3108,duetin,duet
3109,mudaa,muda
3110,sebenernya,sebenarnya
3111,silsturahmi,silaturahmi
3112,dijkt,dijakarta
3113,cums,cuma
3114,undangan2,undangan-undangan
3115,past,pasti
3116,ayukk,yuk
3117,ngucapin,mengucapkan
3118,filmny,filmnya
3119,ntn,menonton
3120,nobar,menonton bareng
3121,kemariin,kemarin
3122,knpp,kenapa
3123,lggi,lagi
3124,gaprgi,enggak pergi
3125,aaahh,ah
3126,pa2,apa-apa
3127,dtunggu,ditunggu
3128,masa2,masa-masa
3129,kepikir,terpikir
3130,seruuu,seru
3131,emeshh,gemas
3132,kaya,kayak
3133,astagaaaaaa,astaga
3134,pacarn,pacaran
3135,ktg,kita
3136,pacaranya,pacarannya
3137,mbaak,mbak
3138,ngalah,mengalah
3139,de,dek
3140,pacarane,pacarannya
3141,rusakkk,rusak
3142,yaaampunnn,ya ampun
3143,tuwek,tua
3144,mukae,mukanya
3145,ultahe,ultahnya
3146,kliatanya,kelihatannya
3147,pcaranya,pacarannya
3148,bermaksut,bermaksud
3149,tampialannya,tampilannya
3150,nikaah,nikah
3151,"anak""",anak-anak
3152,pankapan,kapan-kapan
3153,ngumbar,mengumbar
3154,dhpusin,dihapuskan
3155,istiqomah,istikamah
3156,mnutup,menutup
3157,bngatt,banget
3158,dii,di
3159,ooh,oh
3160,hapusin,hapuskan
3161,lohhh,loh
3162,ngeuh,engah
3163,sneng,senang
3164,mutusin,memutuskan
3165,ngapus,menghapus
3166,awl,awal
3167,hrus,harus
3168,bngkit,bangkit
3169,mncoba,mencoba
3170,wahhh,wah
3171,mutuain,memutuskan
3172,smw,semua
3173,geuliiiiiiis,geulis
3174,euyyyyy,euy
3175,uuh,uh
3176,ngirim,mengirim
3177,ngidam,mengidam
3178,waah,wah
3179,sampis,sampah habis
3180,maapin,maaf
3181,ngebala,bala
3182,mampuussss,mampus
3183,diihhhh,dih
3184,hrusnya,harusnya
3185,sabal,sabar
3186,udahlah,sudahlah
3187,kauuuu,kau
3188,sabaro,sabar
3189,eehhh,eh
3190,iiii,ih
3191,kreative,kreatif
3192,bangrt,banget
3193,azekkkk,asik
3194,kuaaatt,kuat
3195,bhet,banget
3196,inggrisny,inggrisnya
3197,dsna,disana
3198,iyaap,iya
3199,mksih,terima kasih
3200,nga,enggak
3201,canyk,cantik
3202,prodac,produk
3203,nyesell,menyesal
3204,ciyusss,serius
3205,cyin,cinta
3206,bangetttttttt,banget
3207,sexi,seksi
3208,bundaaaa,bunda
3209,bangget,banget
3210,bettt,banget
3211,cantiiillx,cantik
3212,brapa,berapa
3213,alaami,alami
3214,sabaarrr,sabar
3215,cantiiiikk,cantik
3216,bangeeeeetttt,banget
3217,cannntikk,cantik
3218,banggett,banget
3219,thnan,tahunan
3220,cuantik,cantik
3221,segerr,segar
3222,wouww,wow
3223,cantiiikkk,cantik
3224,pen,ingin
3225,catokin,catok
3226,ikut2an,ikut-ikutan
3227,comment2nya,komentar-komentarnya
3228,teman2,teman-teman
3229,besar2an,besar-besaran
3230,knsul,konsultasi
3231,brhasil,berhasil
3232,hilangin,menghilangkan
3233,kontak2,kontak-kontak
3234,dptnya,dapatnya
3235,applikasi,aplikasi
3236,kereeeeen,keren
3237,bngeet,banget
3238,gemesinnnnn,menggemaskan
3239,ongkiir,ongkir
3240,ajaibbbbb,ajaib
3241,saayyyyy,say
3242,lohhhh,loh
3243,ganteung,ganteng
3244,bhgia,bahagia
3245,iiiiiiiiii,ih
3246,lucuukk,lucu
3247,keciil,kecil
3248,yakinn,yakin
3249,pentass,pentas
3250,ngarep,mengharap
3251,lucu2,lucu-lucu
3252,testinya,testimoninya
3253,mengirusi,mengurusi
3254,khdpn,kehidupan
3255,ngelawan,melawan
3256,betuuuuulllllllllllllllll,betul
3257,bisax,bisanya
3258,klmbutan,kelembutan
3259,seburuk2,seburuk-buruk
3260,diingetin,diingatkan
3261,ngeriiiiii,ngeri
3262,nich,nih
3263,akhlah,akhlak
3264,elo2,lo-lo
3265,mandiin,memandikan
3266,nguburin,menguburkan
3267,ngebedain,membedakan
3268,urusanny,urusannya
3269,tuhanny,tuhannya
3270,brtngkar,bertengkar
3271,pndapat,pendapat
3272,looh,loh
3273,sharusnya,seharusnya
3274,mngkannya,mangkanya
3275,nyia2in,menyia-nyiakan
3276,brarti,berarti
3277,mndpat,mendapat
3278,kpuasan,kepuasan
3279,sgampang,segampang
3280,mlepaskan,melepaskan
3281,trll,terlalu
3282,sndr,sendiri
3283,sellow,selow
3284,sbbrnya,sebenarnya
3285,kasar2,kasar-kasar
3286,semangattt,semangat
3287,testi,testimoni
3288,banyaak,banyak
3289,bujukk,bujuk
3290,d.apa,diapa
3291,apain,apai
3292,dsar,dasar
3293,benetaran,benaran
3294,bneran,benaran
3295,kraya,karya
3296,brg,bareng
3297,ngebantu,membantu
3298,janjutin,lanjutkan
3299,kepppoin,kepoi
3300,recommendasi,rekomendasi
3301,btulan,betulan
3302,kha,kah
3303,s,si
3304,tutupin,menutupi
3305,wik,wig
3306,ithu,itu
3307,botakin,botaki
3308,botakkkk,botak
3309,bnrn,benaran
3310,week,wig
3311,gawul,gaul
3312,modes,modis
3313,brayyy,bray
3314,kcantikan,kecantikan
3315,bronis,brondong manis
3316,gapunya,enggak punya
3317,bkln,bakalan
3318,kecantikanga,kecantikannya
3319,hiii,hai
3320,piiiilih,pilih
3321,deeh,deh
3322,zama,zaman
3323,gnti,ganti
3324,nmnya,namanya
3325,tapo,tapi
3326,gkk,enggak
3327,petinggi2,petinggi-petinggi
3328,wota2,wota-wota
3329,indefendet,independen
3330,tempat2,tempat-tempat
3331,taik,tahi
3332,yuuuukkk,yuk
3333,dituutup,ditutup
3334,ngayal,mengkhayal
3335,smvk,sempak
3336,knyataan,kenyataan
3337,njrittt,anjir
3338,selmt,selamat
3339,taz,atas
3340,klhran,kelahiran
3341,pertma,pertama
3342,kelahuran,kelahiran
3343,pertamany,pertamanya
3344,mamax,mamanya
3345,ankx,anaknya
3346,cantip,cantik
3347,klahiran,kelahiran
3348,slmat,selamat
3349,mmbanggakan,membanggakan
3350,ortuny,orang tuanya
3351,selmat,selamat
3352,bnda,bunda
3353,nyah,nya
3354,prtamax,pertamanya
3355,moqa,moga
3356,yq,yang
3357,brbakti,berbakti
3358,gewlaaaaa,gila
3359,basodaraa,bersaudara
3360,hargs,harga
3361,perhatiin,perhatikan
3362,abal2,abal-abal
3363,bantuim,bantu
3364,adl,adalah
3365,pelwak,pelawak
3366,suces,sukses
3367,sucses,sukses
3368,garemin,garami
3369,gapake,enggak pakai
3370,ngiringan,mengiringi
3371,karir.a,karirnya
3372,aamin,amin
3373,teruz,terus
3374,kemarn,kemarin
3375,recomendasinya,rekomendasinya
3376,promoo,promo
3377,ongkirr,ongkir
3378,mskasih,terima kasih
3379,wowwwww,wow
3380,seeeemua,semua
3381,batesin,batasi
3382,bijin,bikin
3383,ngeidealin,mengidealkan
3384,bhn,bahan
3385,gasalah,enggak salah
3386,brsma,bersama
3387,le,boleh
3388,ugha,juga
3389,semuaaa,semua
3390,heeee,hai
3391,rame2,rame-rame
3392,yam,ya
3393,kartunin,kartun
3394,kyaknya,kayaknya
3395,abez,habis
3396,baaaaaang,bang
3397,ganteeeeng,ganteng
3398,entahhh,entah
3399,gimanaaaa,bagaimana
3400,duuhh,duh
3401,gantengnyaaaa,gantengnya
3402,kpn2,kapan-kapan
3403,pans,fan
3404,kuliyh,kuliah
3405,gantengkuuuuuu,gantengku
3406,atassss,atas
3407,orgny,orangnya
3408,owalaah,walah
3409,aslinyo,aslinya
3410,alissnyaa,alisnya
3411,masaaaa,masa
3412,komuk,muka
3413,kalahnye,kalahnya
3414,iyaaaa,iya
3415,fakultass,fakultas
3416,smrg,semarang
3417,unyu2,unyu-unyu
3418,koq,kok
3419,yyaaa,ya
3420,insonniaaa,insomnia
3421,adekx,adeknya
3422,azaab,azab
3423,gksi,enggak sih
3424,greged,greget
3425,alamiii,alami
3426,ktemu,ketemu
3427,ditayangin,ditayangkan
3428,"ms""",masa-masa
3429,meranin,memerankan
3430,nontonny,menontonnya
3431,rekomendasiiin,merekomendasikan
3432,sista2,sista-sista
3433,agan2,agan-agan
3434,ngg,enggak
3435,nanget,banget
3436,ngeditnya,mengeditnya
3437,himana,bagaimana
3438,kekgini,kayak begini
3439,subhanaallahh,subhanallah
3440,sangat2,sangat-sangat
3441,terharuuuu,terharu
3442,"kata""",kata-kata
3443,subhanallahhh,subhanallah
3444,tlsn,tulisan
3445,nagiss,menangis
3446,aneut,banget
3447,trrharu,terharu
3448,subhnallah,subhanallah
3449,allahh,allah
3450,suamiii,suami
3451,dcintai,dicintai
3452,klrga,keluarga
3453,liat'y,lihatnya
3454,lggeng,langgeng
3455,romantisny,romatisnya
3456,duhhh,duh
3457,pcar,pacar
3458,kakanga,kakaknya
3459,slw,selow
3460,cpa,siapa
3461,akuu,aku
3462,aelah,alah
3463,orabg,orang
3464,mukanyaa,mukanya
3465,kakakny,kakaknya
3466,woooyy,woy
3467,ngelucu,melucu
3468,bukak,buka
3469,mato,mata
3470,kareno,karena
3471,cino,cina
3472,munafikk,munafik
3473,meker,mikir
3474,indoneaia,indonesia
3475,benarin,membenarkan
3476,jaadii,jadi
3477,apo,apa
3478,nyo,nya
3479,miara,memiara
3480,jalanani,menjalani
3481,dalil2,dalil-dalil
3482,sunah2,sunah-sunah
3483,sdah,sudah
3484,benda2,benda-benda
3485,bilang2,bilang-bilang
3486,emangnya,memangnya
3487,rumpiin,rumpi
3488,hotak,botak
3489,ikut2,ikut-ikut
3490,jawabanny,jawabannya
3491,ajj,saja
3492,mikir2,memikir-mikir
3493,melihara,memelihara
3494,oooh,oh
3495,hidupx,hidupnya
3496,ngefans,fan
3497,lsg,langsung
3498,uztad,ustad
3499,anjingnyaa,anjingnya
3500,pegang2,pegang-pegang
3501,ilmh,ilmu
3502,menasehati,menasihati
3503,suka2,suka-suka
3504,kelus,kali
3505,hubngan,hubungan
3506,koclak,kocak
3507,bju,baju
3508,cinggirnyaaaa,cinggirnya
3509,yahhhh,ya
3510,miripppp,mirip
3511,sedikitlaahh,sedikitlah
3512,miriplahhhhhh,miriplah
3513,syediih,sedih
3514,mirp,mirip
3515,baju.a,bajunya
3516,wiiiihhhhhhhhh,wih
3517,gantheng,ganteng
3518,synk,sayang
3519,ngfans,fan
3520,miriiippp,mirip
3521,idungnya,hidungnya
3522,wooow,wow
3523,panglingg,pangling
3524,artisnyaa,artisnya
3525,dtggu,ditunggu
3526,trnyata,ternyata
3527,bgtttttttt,banget
3528,rapih,rapi
3529,buuun,bun
3530,iyaappps,iya
3531,sukse,sukses
3532,nih2,nih-nih
3533,baruu,baru
3534,kecptan,kecepatan
3535,rmbutnya,rambutnya
3536,giti,begitu
3537,penganten,pengantin
3538,wrn,warna
3539,ne,ini
3540,cantikkkkk,cantik
3541,fans,fan
3542,loksyut,lokasi syuting
3543,amfun,ampun
3544,k',kak
3545,asuuu,asu
3546,kuu,ku
3547,dsini,disini
3548,dibls,dibalas
3549,ceklist,ceklis
3550,terusss,terus
3551,tlvn,telepon
3552,trkrim,terkirim
3553,kelaluan,kelakuan
3554,guanteng,ganteng
3555,cucok,cocok
3556,c,sih
3557,gueee,gue
3558,semangatt,semangat
3559,haduh,aduh
3560,mlz,malas
3561,emak2,emak-emak
3562,tante2,tante-tante
3563,kepoh,kepo
3564,jalanin,menjalani
3565,repong,repot
3566,ngrusin,mengurusi
3567,iy,iya
3568,dnk,dong
3569,senyumna,senyumnya
3570,ngejelek2in,menjelek-jelekkan
3571,hotx,hotnya
3572,cwnya,ceweknya
3573,mbaaahhh,mbah
3574,pasangn,pasangan
3575,sttus,status
3576,aama,sama
3577,hadeuuhhhh,aduh
3578,lebar2,lebar-lebar
3579,sstu,sesuatu
3580,serasiii,serasi
3581,cocokx,cocoknya
3582,emakx,emaknya
3583,iniiiiiiiiiiiiiii,ini
3584,cocookk,cocok
3585,kll,kalo
3586,arghhh,ah
3587,ungkapin,ungkapkan
3588,merrid,merit
3589,neh,nih
3590,cocokkkkk,cocok
3591,yaolohh,ya allah
3592,aee,saja
3593,naggung,menanggung
3594,battt,banget
3595,am,sama
3596,tah,teh
3597,luthuna,lucunya
3598,astagaaa,astaga
3599,suaraynyaa,suaranya
3600,duanyaa,duanya
3601,anjayyyy,anjay
3602,coeggg,coeg
3603,ancur,hancur
3604,koplak,kocak
3605,uaaasssiiiik,asik
3606,boss,bos
3607,nyubit,mencubit
3608,dede,adek
3609,gemez,gemas
3610,tium,cium
3611,gemeeezzzz,gemas
3612,ppa,papa
3613,papahhhnya,papahnya
3614,duuuhh,duh
3615,ginting,ganteng
3616,bingiiittzz,banget
3617,iiihh,ih
3618,dedeknya,adeknya
3619,hadeeuh,aduh
3620,geneeee,begini
3621,yooow,ya
3622,gemezz,gemas
3623,gayax,gayanya
3624,infpyunnnn,ampun
3625,paraaah,parah
3626,papiii,papi
3627,kamunyaa,kamunya
3628,ngambek,mengambek
3629,haduuuh,aduh
3630,kapaan,kapan
3631,nginjek,menginjak
3632,putihnyaa,putihnya
3633,ituuuu,itu
3634,omaaaaaaakk,oma
3635,loncattt,loncat
3636,didatengin,didatangi
3637,abg,abang
3638,kmariiin,kemarin
3639,ayoklaa,ayolah
3640,jelasssss,jelas
3641,kaliiin,kalian
3642,ujunggg,ujung
3643,kaakaaaa,kakak
3644,srruu,seru
3645,kannn,kan
3646,jmpaaaa,jumpa
3647,yukkk,yuk
3648,haii,hai
3649,syukaaakkk,suka
3650,dengeeriin,dengarkan
3651,yakaliiiii,yakali
3652,atuhh,atuh
3653,ngertii,mengerti
3654,apalgi,apalagi
3655,akuh,aku
3656,mesrany,mesranya
3657,jendes,janda
3658,ngggk,enggak
3659,coccokk,cocok
3660,msa,masa
3661,jendesss,janda
3662,klepek2,klepek-klepek
3663,bngtttt,banget
3664,ponakn,ponakan
3665,tantee,tante
3666,gadiss,gadis
3667,tpy,tapi
3668,jnda,janda
3669,bngy,banget
3670,bujngn,bujangan
3671,ngp,mengapa
3672,padetan,padatan
3673,bawa2,bawa-bawa
3674,nyobain,mencoba
3675,pcaran,pacaran
3676,or,orang
3677,tdak,tidak
3678,prcuma,percuma
3679,langgengggg,langgeng
3680,sekaliiiii,sekali
3681,anehhh,aneh
3682,hayal,khayal
3683,bedua,berdua
3684,bapeerr,bawa perasaan
3685,keinget,teringat
3686,merekak,mereka
3687,kreeenn,keren
3688,abisss,habis
3689,kocaaaakkk,kocak
3690,abiiiss,habis
3691,pass,pas
3692,personill,personil
3693,lengkapp,lengkap
3694,ampuuun,ampun
3695,iiihhhh,ih
3696,flim.a,filmnya
3697,trusan.a,terusannya
3698,tdung,tudung
3699,gangguin,mengganggu
3700,lgkah2,langkah-langkah
3701,taw,tau
3702,cntiiikkk,cantik
3703,tegaar,tegar
3704,sktlrang,sekarang
3705,kangeeeennnnn,kangen
3706,sjk,sejak
3707,tambh,tambah
3708,nangiis,menangis
3709,nyaaaaaaaaa,nya
3710,bundaa,bunda
3711,duuhhhhh,duh
3712,gaada,enggak ada
3713,malsudnya,maksudnya
3714,lluuccuu,lucu
3715,siappa,siapa
3716,martabakk,martabak
3717,skali2,sekali-kali
3718,kueren2,keren-keren
3719,abgnya,abangnya
3720,warkop,warung kopi
3721,hayuu,hayo
3722,kenapaa,kenapa
3723,ilang2an,hilang-hilangan
3724,ayooook,ayo
3725,astagaaaaaaaa,astaga
3726,inihhh,ini
3727,oom,om
3728,mansetan,bermanset
3729,cadasss,cadas
3730,kereeeeennn,keren
3731,"temen""",teman-teman
3732,telefisi,televisi
3733,nikmatin,menikmati
3734,mantappp,mantap
3735,mbahh,mbah
3736,giitu,begitu
3737,mtanya,matanya
3738,cpit,sipit
3739,dee,dek
3740,sumvahh,sumpah
3741,tamvann,tampan
3742,yap,ya
3743,guaaaaaaa,gua
3744,capa,sapa
3745,ngakakkk,mengakak
3746,liaat,lihat
3747,gantweng,ganteng
3748,anjjjjjjjj,anjing
3749,gakwad,enggak kuat
3750,seru2,seru-seru
3751,iniii,ini
3752,favoriteeee,favorit
3753,adaa,ada
3754,dinyanyiin,dinyanyikan
3755,seruu,seru
3756,nyengir,menyengir
3757,temennya,temannya
3758,klk,kelak
3759,brjdh,berjodoh
3760,akhrt,akhirat
3761,kangennnnn,kangen
3762,kanggen,kangen
3763,kangennnnnnn,kangen
3764,ysh,ya
3765,sypa,siapa
3766,nangisss,menangis
3767,brjodoh,berjodoh
3768,kaliann,kalian
3769,barengg,bareng
3770,kpnpun,kapanpun
3771,mendj,menjadi
3772,allahhhh,allah
3773,merindinggg,merinding
3774,amiennnn,amien
3775,iihh,ih
3776,lhir,lahir
3777,udeh,sudah
3778,menjdi,menjadi
3779,debay,adek bayi
3780,bangeer,banget
3781,lafazd,lafaz
3782,pmbyran,pembayaran
3783,plsa,pulsa
3784,"dimana""",dimana-mana
3785,sokk,sok
3786,ngambekan,ambekan
3787,sma2,sama-sama
3788,ngom,mengomong
3789,toloollll,tolol
3790,bodhooo,bodoh
3791,peliharaaaa,pelihara
3792,makanyaa,makanya
3793,"ati""",hati-hati
3794,kemakan,termakan
3795,bodhoo,bodoh
3796,siihhh,sih
3797,andaaa,anda
3798,buktinyaaa,buktinya
3799,smuaaa,semua
3800,ngambeknya,mengambeknya
3801,kebongkar,terbongkar
3802,tapii,tapi
3803,kasiian,kasihan
3804,diladenin,diladeni
3805,comen,komen
3806,ngtif,negatif
3807,comntr,komentar
3808,kaliannn,kalian
3809,brdiri,berdiri
3810,mulutny,mulutnya
3811,msalah,masalah
3812,trserh,terserah
3813,waduuuuh,waduh
3814,ngedukung,mendukung
3815,dihpus,dihapus
3816,mrekaa,mereka
3817,cakeeeeppp,cakep
3818,benerr,benar
3819,"brg""",bareng-bareng
3820,baanget,banget
3821,anjaaaayyyyyy,anjay
3822,ngetsz,banget
3823,utkmu,untukmu
3824,anj,anjing
3825,merekaa,mereka
3826,kann,kan
3827,dieee,dia
3828,yaahh,ya
3829,hijap,hijab
3830,ternodain,ternodai
3831,ngeri2,ngeri-ngeri
3832,mn,mana
3833,kt2,kata-kata
3834,agk,agak
3835,slhkan,salahkan
3836,jilbabny,jilbabnya
3837,perilakuny,perilakunya
3838,ketaatanny,ketaatannya
3839,kepda,kepada
3840,sblmny,sebelumnya
3841,bljr,belajar
3842,pedulilaaaah,pedulilah
3843,ingetin,mengingatkan
3844,terjrumus,terjerumus
3845,stuju,setuju
3846,sbb,sebab
3847,igtlah,ingatlah
3848,dtgkan,datangkan
3849,benahin,membenahi
3850,ohhhh,oh
3851,yapp,ya
3852,jauhh,jauh
3853,bingitt,banget
3854,buka2an,buka-bukaan
3855,ngembali,kembali
3856,semngat,semangat
3857,lekong,laki
3858,kacauuuu,kacau
3859,ngimpi,mimpi
3860,owh,oh
3861,ngerampas,merampas
3862,ngehancurin,menghancurkan
3863,ngungkit2,mengungkit-ungkit
3864,kaleee,kali
3865,caranga,caranya
3866,usa,usah
3867,dipikirin,dipikirkan
3868,nunduk,menunduk
3869,tembemmm,tembem
3870,lucuuuuuuuuuu,lucu
3871,bundaaa,bunda
3872,nyubitt,mencubit
3873,jls2,jelas-jelas
3874,supeer,super
3875,inni,ini
3876,appa,apa
3877,hayooo,hayo
3878,adyem,adem
3879,mitnah,memfitnah
3880,cantiknyaaaaa,cantiknya
3881,tmbm,tembam
3882,cantix,cantik
3883,kriput,keriput
3884,jelex,jelek
3885,drmn,darimana
3886,"laku""",laku-laku
3887,"orang""nya",orang-orangnya
3888,kacian,kasihan
3889,cape,capek
3890,mancing2,memancing-mancing
3891,eeeeh,eh
3892,kpancing,terpancing
3893,lakuin,melakukan
3894,cri,cari
3895,sbenernya,sebenarnya
3896,mikirinnn,memikirkan
3897,"diam""",diam-diam
3898,mengalahkn,mengalahkan
3899,nyindirin,menyindir
3900,nee,ini
3901,klakuan,kelakuan
3902,mksdx,maksudnya
3903,shabat,sahabat
3904,jk,jika
3905,brbuat,berbuat
3906,mmberi,memberi
3907,nm,nama
3908,sbhabat,sahabat
3909,pnjerumus,penjerumus
3910,tman,teman
3911,shbat,sahabat
3912,melakukn,melakukan
3913,seorg,seorang
3914,berkluarga,berkeluarga
3915,siapa2,siapa-siapa
3916,ketipu,tertipu
3917,"laki""",laki-laki
3918,mengait2kan,mengait-ngaitkan
3919,nyir2,nyinyir
3920,gosipin,menggosipkan
3921,sendri,sendiri
3922,bntar,bentar
3923,duuuhhh,duh
3924,nmbk,menembak
3925,gakkk,enggak
3926,abiiiiisssss,habis
3927,tikung2,tikung-tikung
3928,cwok,cowok
3929,bangedd,banget
3930,wuastagah,astaga
3931,bedaaa,beda
3932,jaoooh,jauh
3933,mateeeeeeeeeeee,mati
3934,parsis,persis
3935,sumpeh,sumpah
3936,iyh,iya
3937,kmana,kemana
3938,cantiqs,cantik
3939,kecik,kecil
3940,brasa,berasa
3941,trlihat,terlihat
3942,mmberikan,memberikan
3943,khidupan,kehidupan
3944,srpti,seperti
3945,dinamakn,dinamakan
3946,sgtu,sebegitu
3947,paati,pasti
3948,kutuu,kutu
3949,setelur2nya,setelur-telurnya
3950,khadiran,kehadiran
3951,kel,keluarga
3952,srta,serta
3953,kcil,kecil
3954,kberkahn,keberkahan
3955,kbahagiaan,kebahagiaan
3956,tntram,tentram
3957,brsama,bersama
3958,hngga,hingga
3959,brpndapat,berpendapat
3960,trutama,terutama
3961,hiraukn,hiraukan
3962,diamkn,diamkan
3963,hrsny,harusny
3964,brsyukur,bersyukur
3965,mmberikn,memberikan
3966,rasakn,rasakan
3967,cari2,cari-cari
3968,kesalahanny,kesalahannya
3969,kekuranganny,kekurangannya
3970,seandainy,seandainya
3971,perasaanny,perasaannya
3972,diindonesis,diindonesia
3973,liyatnya,lihatnya
3974,kayahhh,kaya
3975,ala2,ala-ala
3976,yook,yuk
3977,yoookkkk,yuk
3978,siihh,sih
3979,elus2,elus-elus
3980,asliiiii,asli
3981,aduuhhhh,aduh
3982,belom,belum
3983,padahl,padahal
3984,btul,betul
3985,kejahatn,kejahatan
3986,slam,salam
3987,ngelewati,melewati
3988,kalu,kalau
3989,ngerendahin,merendahkan
3990,apaalahh,apalah
3991,tnp,tanpa
3992,menyebut2,menyebut-nyebut
3993,mnt,minta
3994,kiya,kita
3995,miriiiiip,mirip
3996,dirimuuu,dirimu
3997,yoiiu,yoi
3998,semuanyaaaa,semuanya
3999,suka.a,sukanya
4000,jdii,jadi
4001,blnja,belanja
4002,brangnya,barangnya
4003,ada2,ada-ada
4004,nimpuk,menimpuk
4005,abiss,habis
4006,prlu,perlu
4007,coyyy,coy
4008,suaranyaa,suaranya
4009,jnagn,jangan
4010,kcwa,kecewa
4011,jaman2,jaman-jaman
4012,sok2an,sok-sokan
4013,dket2in,dekat-dekati
4014,cobak,coba
4015,britanya,beritanya
4016,tau2,tau-tau
4017,mahh,mah
4018,jamam,jaman
4019,paraa,para
4020,seharusny,seharusnya
4021,dasaar,dasar
4022,bergunaa,berguna
4023,mulutnyaaa,mulutnya
4024,blkng,belakang
4025,kcewa,kecewa
4026,mnusuk,menusuk
4027,blkang,belakang
4028,nembak,menembak
4029,trmanis,termanis
4030,krng,kurang
4031,kaciiaann,kasihan
4032,nyela,mencela
4033,ngejilat,menjilat
4034,hallooo,halo
4035,deketin,dekati
4036,tayik,tahi
4037,halooo,halo
4038,ustzah,ustazah
4039,halow,halo
4040,poooolllll,pol
4041,tahannn,tahan
4042,aduuh,aduh
4043,nyimpen,menyimpan
4044,ngarsipin,mengarsipkan
4045,cman,cuman
4046,gituuuuu,begitu
4047,kyy,kaya
4048,kngn,kangen
4049,kq,kok
4050,nyesek,menyesak
4051,rinduuuuuuu,rindu
4052,b2,berdua
4053,kangeeeennn,kangen
4054,mg,moga
4055,aamiiiiinnn,amin
4056,gemezzzz,gemas
4057,kangennnnnn,kangen
4058,prh,parah
4059,bakattt,bakat
4060,napsuu,napsu
4061,gmau,enggak mau
4062,luccu,lucu
4063,prasaan,perasaan
4064,lahirr,lahir
4065,setujuuuu,setuju
4066,sering2,sering-sering
4067,ceemen,cemen
4068,"sembunyi""""",sembunyi-sembunyi
4069,skrnh,sekarang
4070,cerdiik,cerdik
4071,jeniuss,jenius
4072,kurangin,kurangi
4073,kreen,keren
4074,s'lalu,selalu
4075,mauuuuuu,mau
4076,mintk,minta
4077,nyolong,mencolong
4078,pnjng,panjang
4079,slaluuuuu,selalu
4080,kanggggg,kang
